"STAR_NUMBER":"STAR_NAME":"Distance":"Equivalent Temperature":"star mass":"Star Radius":"STAR LUMINOSITY":"Stellar Type"
568:"Clipperton":322,215:2844:0,4:0,36:0,01:"M-3-V"
1046:"Hamilton":88,794:3908:0,6:0,84:0,11:"K-5-V"
2937:"Bearclaw":1729,998:2585:0,2:0,6:0,07:"M-6-V"
1587:"Mangor":401,097:2607:0,1:0,21:0,05:"M-3-V"
2265:"Schwartz":461,704:2948:0,2:0,11:0,02:"M-3-V"
882:"Fletcher":220,627:3096:0,1:0,27:0,06:"M-3-V"
84:"Alnadal":158,599:2698:0,4:0,34:0,06:"M-2-V"
396:"Bristol":190,865:2461:0,3:0,48:0,05:"M-2-V"
754:"Dunklewälderdunklerflüssenschattenwelt":503,652:3222:0,3:0,5:0,06:"M-3-V"
418:"Burnt Rock":380,265:2478:0,4:0,58:0,02:"M-3-V"
276:"Baxley":457,489:3168:0,4:0,39:0,04:"M-3-V"
3073:"Shahhat":982,806:2412:0,2:0,42:0,02:"M-0-V"
2327:"Sian":229,773:2498:0,2:0,21:0,01:"M-2-V"
635:"Curaumilla":351,204:4005:0,6:0,88:0,13:"K-3-V"
506:"Cerberus":512,542:2753:0,1:0,34:0,04:"M-5-V"
1908:"Nullarbor":296,271:NA:0,3:0,67:0,02:"M-5-V"
1676:"Menke":343,107:2414:0,4:NA:0,03:"M-3-V"
2405:"Steinhatchee":531,084:4419:0,7:0,71:0,23:"K-2-V"
1787:"Nahoni":316,006:3813:0,5:0,78:0,47:"K-7-V"
2114:"Ramgarh":451,79:2533:0,2:0,32:0,01:"M-8-V"
3171:"Holdout":1279,745:3554:0,4:0,13:0,06:"M-1-V"
1773:"Murchison":77,291:3932:0,5:0,84:0,26:"K-6-V"
1111:"Hillerod":191,249:3113:NA:0,47:0,05:"M-2-V"
1330:"Kentwood":627,665:3258:0,2:0,25:0,03:"M-2-V"
180:"Armstrong":488,465:2933:0,2:0,29:0,02:"M-5-V"
1891:"Norman's World":483,994:2504:0,2:0,32:0,03:"M-5-V"
1564:"Mahrah":469,515:5319:0,9:1,12:0,76:"G-5-V"
236:"Badlands Cluster":550,426:2709:0,4:0,16:0,03:"M-5-V"
1946:"Orestes":169,614:2481:0,2:0,09:0,03:"M-8-V"
2964:"Tathis":1813,937:2414:0,3:0,34:0,07:"M-5-V"
2407:"Stellaris":318,335:3037:0,4:0,18:0,01:"M-0-V"
802:"Enchi":411,702:NA:0,2:0,42:0,02:"M-4-V"
2944:"Grant's Station":1836,562:3170:0,3:0,09:0,02:"M-1-V"
1486:"Leyland":499,622:5379:0,8:1,04:1,07:"G-5-V"
2423:"Sturganos":373,577:3183:0,1:0,37:0,08:"M-1-V"
1642:"McGehee":338,724:2874:0,2:0,5:0,08:"M-3-V"
493:"Castrovia":252,965:3021:0,4:0,12:0,06:"M-4-V"
2566:"Torgvei":580,193:2709:0,1:0,52:0,06:"M-3-V"
636:"Cursa":352,409:5413:0,8:0,98:1,22:"G-2-V"
871:"Findal":584,066:2622:0,3:0,54:0,01:"M-7-V"
2388:"St. Andre":120,166:2717:0,1:0,27:0,04:"M-4-V"
2705:"Vosloorus":323,699:2773:0,4:0,45:0,06:"M-0-V"
266:"Basalt":72,239:2793:0,3:0,27:0,07:"M-4-V"
2356:"Skye":76,743:3171:0,4:0,48:0,02:"M-2-V"
2651:"Valloire":386,165:2630:0,4:0,27:0,06:"M-3-V"
1204:"Iolas":422,269:2599:0,3:0,46:0,03:"M-2-V"
1783:"Mytilene":203,092:2922:0,1:0,19:0,04:"M-5-V"
1657:"Megiddo":613,31:4345:0,5:0,86:0,24:"K-2-V"
32:"Adler":261,699:5480:1:1,01:0,6:"G-5-V"
2091:"Quelimane":605,68:2644:0,2:0,57:0,01:"M-3-V"
1131:"Hongor":500,918:4057:0,6:0,89:0,21:"K-0-V"
2746:"Wernke":339,138:2738:0,2:0,3:0,06:"M-2-V"
1416:"Kristiandsund":84,064:5744:1:1,14:1,02:"G-2-V"
2766:"Wisconsin":336,56:NA:0,1:0,44:0,07:"M-5-V"
125:"Anatolia":513,542:3781:0,6:0,72:0,41:"K-6-V"
2335:"Sikkim":468,619:5743:0,9:0,98:1,17:"G-2-V"
108:"Altorra":263,51:5270:0,9:1,13:1,3:"G-2-V"
2123:"Rasalhague":391,74:2717:0,1:0,49:0,07:"M-1-V"
2349:"Skaslien":292,371:NA:0,7:0,95:0,39:"K-2-V"
333:"Bithinia":179,451:NA:0,4:0,12:0,07:"M-3-V"
673:"Declan":363,446:4378:0,6:0,78:0,08:"K-2-V"
